Q (L/min)              Time (s)                   N_bound (mol/m^2)
0                        3140                     5.502761436446735E-13
0                        3150                     5.503217191660111E-13
0                        3160                     5.503676873963268E-13
0                        3170                     5.504281422607266E-13
0                        3180                     5.504816533181936E-13
0                        3190                     5.505247353033921E-13
0                        3200                     5.505721857228003E-13
0                        3210                     5.506330773281161E-13
0                        3220                     5.506871794367274E-13
0                        3230                     5.507291985604785E-13
0                        3240                     5.507813349437841E-13
0                        3250                     5.508408366324313E-13
0                        3260                     5.508906699184723E-13
0                        3270                     5.509312851265445E-13
0                        3280                     5.509846704130295E-13
0                        3290                     5.510428292183185E-13
0                        3300                     5.510904855321326E-13
0                        3310                     5.511295119155703E-13
0                        3320                     5.511891076198876E-13
0                        3330                     5.512466662898077E-13
0                        3340                     5.512929047640434E-13
0                        3350                     5.513355006180817E-13
0                        3360                     5.513947842671551E-13
0                        3370                     5.514478236026966E-13
0                        3380                     5.514906607539906E-13
0                        3390                     5.515318943856117E-13
0                        3400                     5.515911774766894E-13
0                        3410                     5.516461637602767E-13
0                        3420                     5.516896570915568E-13
0                        3430                     5.517335003881457E-13
0                        3440                     5.517936379407161E-13
0                        3450                     5.518458736684869E-13
0                        3460                     5.51886540668849E-13
0                        3470                     5.519321078831873E-13
0                        3480                     5.519908724821288E-13
0                        3490                     5.520409572408637E-13
0                        3500                     5.520795649636737E-13
0                        3510                     5.521315846586976E-13
0                        3520                     5.52189563552778E-13
0                        3530                     5.52236165641316E-13
0                        3540                     5.522731721701671E-13
0                        3550                     5.523310914000419E-13
0                        3560                     5.523858137643446E-13
0                        3570                     5.524286033007537E-13
0                        3580                     5.524703678218271E-13
0                        3590                     5.525287557610236E-13
0                        3600                     5.525799975389344E-13
5.000000000000001E-5     0                        4.994815417879597E-15
5.000000000000001E-5     10                       1.803939849930869E-13
5.000000000000001E-5     20                       2.3443131605624523E-13
5.000000000000001E-5     30                       2.69526805433789E-13
5.000000000000001E-5     40                       2.907341748543517E-13
5.000000000000001E-5     50                       3.055029898651122E-13
5.000000000000001E-5     60                       3.211334824779554E-13
5.000000000000001E-5     70                       3.401886269368362E-13
5.000000000000001E-5     80                       3.599858673241794E-13
5.000000000000001E-5     90                       3.7615864042548424E-13
5.000000000000001E-5     100                      3.868265181759817E-13
5.000000000000001E-5     110                      3.939235542435252E-13
5.000000000000001E-5     120                      4.0111769260227043E-13
5.000000000000001E-5     130                      4.106504770395253E-13
5.000000000000001E-5     140                      4.2190121723460113E-13
5.000000000000001E-5     150                      4.3252848734195666E-13
5.000000000000001E-5     160                      4.407420493658895E-13
5.000000000000001E-5     170                      4.466340660723109E-13
5.000000000000001E-5     180                      4.517344910964539E-13
5.000000000000001E-5     190                      4.575736436435718E-13
