image-ID,x,y,z,chisq,vis-probe
67,21578,37787.5,1090.12,42.3363,1
68,25528.9,32777.9,604.703,465.289,1
68,32107.4,24242.8,792.596,272.397,1
68,28568.5,33104.9,859.914,607.928,1
69,25495.8,32786.9,603.437,414.434,1
69,33612.3,28066.1,651.228,516.16,1
69,32122.6,24253.4,801.516,199.721,1
69,27329.1,32137.1,806.996,315.054,1
69,28568.2,33117.1,855.92,540.408,1
70,20438.9,31192.6,369.401,251.379,1
70,25492.3,32773,602.737,402.382,1
70,33612.9,28064.2,649.669,529.179,1
70,27355.2,32137.4,817.921,407.097,1
70,28573.2,33127.8,849.978,565.175,1
70,34133.6,38166.3,1391.48,42.1375,1
71,28462.4,27833.6,407.263,58.7972,1
71,20469.3,31183.6,401.861,205.775,1
71,25498.3,32786.7,602.036,481.626,1
71,33577.9,28085.6,714.951,345.624,1
71,27348.1,32125,825.948,323.185,1
71,34177.9,38150.3,1361.41,134.936,1
72,28432.9,27838.9,296.615,134.934,1
72,20416.2,31228.3,368.666,240.636,1
72,25521.7,32778.8,613.01,470.068,1
72,33598,28104.2,713.068,321.406,1
72,27346.7,32117.3,814.097,292.441,1
72,30941.3,35029.9,993.556,416.881,1
72,20436.6,31238.6,1283.91,31.8338,1
72,34220.2,38152.4,1354.76,94.9036,1
73,20441.2,31214.3,386.276,321.05,1
73,25505.1,32794.6,642.196,477.604,1
73,33564.9,28084.3,732.378,279.83,1
73,27345.4,32133.5,814.773,391.851,1
73,19376.6,29688.8,969.197,58.3001,1
73,30927.6,35002.8,998.469,309.458,1
73,34136.5,38160.8,1422.3,150.051,1
74,25505.5,32796,614.64,471.336,1
74,33585,28101,721.707,276.477,1
74,27332.9,32134.1,810.812,443.401,1
74,30958.7,35044.3,989.512,355.915,1
74,34160.1,38143.5,1397.86,181.355,1
75,25475.2,32798.5,605.864,368.082,1
75,25512.6,25932.3,762.483,547.479,1
75,33586.7,28105.9,746.26,295.809,1
75,27368,32135.3,825.048,395.89,1
75,30942.9,34996.9,1004.14,327.941,1
75,34162.7,38146.4,1358.4,161.155,1
76,25525.5,32785.2,611.639,454.472,1
76,33597.3,28091.8,729.53,264.694,1
76,23418.1,28172.8,704.676,116.576,1
76,27377.4,32084.5,831.254,358.891,1
76,30933,35000.4,1022.47,378.553,1
76,24820.6,36942.3,1169.62,241.65,1
76,30026.8,24184,1232.25,355.262,1
76,34209.9,38189.2,1330.09,152.548,1
77,23582.1,32676.9,292.372,97.8601,1
77,21268.5,30771.4,351.893,169.545,1
77,33571.3,28084,716.017,387.531,1
77,27371.5,32068.5,827.283,421.654,1
77,30913.1,35008.4,1004.42,122.649,1
77,21149.5,28616.3,1240.52,406.902,1
77,21387.6,31238.5,1388.77,69.2539,1
77,34127.2,38144.5,1424.06,68.6799,1
78,21256.6,30823.6,377.605,384.617,1
78,31842.3,32354,544.839,579.291,1
78,33573.1,28084.5,717.533,258.364,1
78,27381.3,32078.4,837.373,416.211,1
78,24113.9,35039.9,1016.49,404.323,1
78,21150.6,28583.7,1206.34,529.256,1
79,21235.6,30820.8,357.858,403.622,1
79,31585.5,29238,434.199,125.896,1
