spatialFrequency, correlation, smoothCorrelation
0.0169275,0.497153,0.484763
0.0169662,0.50381,0.483427
0.017005,0.490134,0.482092
0.0170437,0.475997,0.48076
0.0170824,0.496839,0.47943
0.0171212,0.47936,0.478101
0.0171599,0.490573,0.476774
0.0171986,0.481606,0.475449
0.0172374,0.490775,0.474126
0.0172761,0.488554,0.472805
0.0173148,0.479152,0.471485
0.0173536,0.483551,0.470167
0.0173923,0.482277,0.46885
0.0174311,0.466702,0.467534
0.0174698,0.466153,0.466218
0.0175085,0.475945,0.464904
0.0175473,0.463713,0.463589
0.017586,0.462961,0.462274
0.0176247,0.435499,0.460957
0.0176635,0.459253,0.459641
0.0177022,0.477185,0.458323
0.0177409,0.459088,0.457005
0.0177797,0.434836,0.455687
0.0178184,0.440733,0.454367
0.0178571,0.442526,0.453047
0.0178959,0.452391,0.451726
0.0179346,0.437261,0.450405
0.0179734,0.423707,0.449082
0.0180121,0.435523,0.44776
0.0180508,0.420972,0.446438
0.0180896,0.435335,0.445116
0.0181283,0.432409,0.443794
0.018167,0.435704,0.442472
0.0182058,0.433359,0.441152
0.0182445,0.46325,0.439833
0.0182832,0.462498,0.438515
0.018322,0.438541,0.437199
0.0183607,0.426396,0.435885
0.0183994,0.403205,0.434573
0.0184382,0.384569,0.433263
0.0184769,0.40124,0.431955
0.0185156,0.424078,0.43065
0.0185544,0.408856,0.429348
0.0185931,0.403471,0.42805
0.0186319,0.410138,0.426756
0.0186706,0.414241,0.425465
0.0187093,0.431957,0.424178
0.0187481,0.432255,0.422896
0.0187868,0.415912,0.421618
0.0188255,0.406168,0.420344
0.0188643,0.424846,0.419076
0.018903,0.437275,0.417812
0.0189417,0.425453,0.416552
0.0189805,0.418468,0.415296
0.0190192,0.395548,0.414045
0.0190579,0.404018,0.412797
0.0190967,0.422371,0.411553
0.0191354,0.396668,0.410313
0.0191742,0.397379,0.409077
0.0192129,0.41097,0.407845
0.0192516,0.399017,0.406618
0.0192904,0.39223,0.405396
0.0193291,0.403995,0.404178
0.0193678,0.390356,0.402965
0.0194066,0.393894,0.401757
0.0194453,0.411288,0.400555
0.019484,0.420844,0.399359
0.0195228,0.403604,0.398168
0.0195615,0.408011,0.396983
0.0196002,0.41405,0.395804
0.019639,0.434399,0.394631
0.0196777,0.403617,0.393464
0.0197165,0.379521,0.392302
0.0197552,0.37504,0.391144
0.0197939,0.371897,0.389992
0.0198327,0.379852,0.388845
0.0198714,0.377624,0.387701
0.0199101,0.336971,0.386562
0.0199489,0.359628,0.385426
0.0199876,0.374189,0.384292
0.0200263,0.400647,0.383162
0.0200651,0.385745,0.382034
0.0201038,0.396829,0.380907
0.0201425,0.392076,0.379781
0.0201813,0.391263,0.378656
0.02022,0.37736,0.37753
0.0202588,0.37607,0.376404
0.0202975,0.396053,0.375277
0.0203362,0.373884,0.374149
0.020375,0.373843,0.373018
0.0204137,0.370387,0.371885
0.0204524,0.329877,0.370749
0.0204912,0.353203,0.369609
0.0205299,0.367897,0.368466
0.0205686,0.368843,0.367319
0.0206074,0.377508,0.366168
0.0206461,0.381787,0.365013
0.0206848,0.381591,0.363853
0.0207236,0.381828,0.362689
0.0207623,0.377803,0.361521
0.0208011,0.363368,0.360349
0.0208398,0.366941,0.359173
0.0208785,0.37809,0.357993
0.0209173,0.376458,0.356809
0.020956,0.38107,0.355622
0.0209947,0.366159,0.354431
0.0210335,0.357361,0.353236
0.0210722,0.355866,0.352039
0.0211109,0.345529,0.350839
0.0211497,0.351438,0.349636
0.0211884,0.365268,0.348431
0.0212271,0.351761,0.347223
0.0212659,0.335725,0.346013
0.0213046,0.348034,0.344801
0.0213434,0.331128,0.343587
0.0213821,0.350366,0.34237
0.0214208,0.338243,0.341153
0.0214596,0.335723,0.339933
0.0214983,0.340636,0.338713
0.021537,0.340586,0.337493
0.0215758,0.354985,0.336273
0.0216145,0.346424,0.335053
0.0216532,0.315732,0.333834
0.021692,0.318856,0.332616
0.0217307,0.335054,0.331399
0.0217694,0.325243,0.330182
0.0218082,0.321791,0.328965
0.0218469,0.327933,0.327749
0.0218857,0.306138,0.326532
0.0219244,0.313152,0.325315
0.0219631,0.310515,0.324097
0.0220019,0.292236,0.322879
0.0220406,0.335727,0.321658
0.0220793,0.353169,0.320437
0.0221181,0.334822,0.319213
0.0221568,0.315141,0.317988
0.0221955,0.337425,0.316762
0.0222343,0.328843,0.315535
0.022273,0.312064,0.314307
0.0223117,0.323464,0.313078
0.0223505,0.313173,0.311847
0.0223892,0.309387,0.310615
0.022428,0.313226,0.309382
0.0224667,0.310071,0.308147
0.0225054,0.272738,0.30691
0.0225442,0.30951,0.305672
0.0225829,0.314465,0.304432
0.0226216,0.320052,0.303191
0.0226604,0.316578,0.301949
0.0226991,0.301864,0.300705
0.0227378,0.285719,0.299461
0.0227766,0.287509,0.298216
0.0228153,0.301917,0.296972
0.022854,0.299352,0.295728
0.0228928,0.305523,0.294486
0.0229315,0.285366,0.293246
0.0229703,0.267955,0.29201
0.023009,0.272997,0.290777
0.0230477,0.264779,0.289548
0.0230865,0.264438,0.288324
0.0231252,0.27966,0.287104
0.0231639,0.281965,0.285888
0.0232027,0.265254,0.284678
0.0232414,0.260921,0.283473
0.0232801,0.296241,0.282273
0.0233189,0.297733,0.281079
0.0233576,0.27428,0.27989
0.0233963,0.247987,0.278707
0.0234351,0.261192,0.277529
0.0234738,0.274085,0.276357
0.0235125,0.273544,0.275191
0.0235513,0.272251,0.274031
0.02359,0.2726,0.272877
0.0236288,0.271335,0.271727
0.0236675,0.26235,0.270584
0.0237062,0.272928,0.269445
0.023745,0.288695,0.268312
0.0237837,0.27927,0.267183
0.0238224,0.268154,0.266058
0.0238612,0.255618,0.264938
0.0238999,0.250787,0.263823
0.0239386,0.267017,0.262712
0.0239774,0.265996,0.261605
0.0240161,0.269397,0.260504
0.0240548,0.259853,0.259407
0.0240936,0.266042,0.258315
0.0241323,0.262992,0.257229
0.0241711,0.255402,0.256148
0.0242098,0.260308,0.255073
0.0242485,0.263589,0.254004
0.0242873,0.257535,0.252941
0.024326,0.245226,0.251885
0.0243647,0.245457,0.250835
0.0244035,0.260157,0.249791
0.0244422,0.268488,0.248755
0.0244809,0.273871,0.247724
0.0245197,0.254691,0.246699
0.0245584,0.248994,0.245681
0.0245971,0.251233,0.244669
0.0246359,0.220653,0.243663
0.0246746,0.228942,0.242662
0.0247134,0.222691,0.241668
0.0247521,0.229696,0.240678
0.0247908,0.225118,0.239694
0.0248296,0.224633,0.238715
0.0248683,0.22245,0.237741
0.024907,0.21114,0.236772
0.0249458,0.215079,0.235807
0.0249845,0.215456,0.234848
0.0250232,0.214208,0.233892
0.025062,0.213874,0.23294
0.0251007,0.235501,0.231992
0.0251394,0.26913,0.231048
0.0251782,0.249181,0.230106
0.0252169,0.226717,0.229168
0.0252557,0.211697,0.228231
0.0252944,0.206039,0.227297
0.0253331,0.203751,0.226364
0.0253719,0.222182,0.225432
0.0254106,0.208066,0.224502
0.0254493,0.21814,0.223573
0.0254881,0.19318,0.222644
0.0255268,0.217979,0.221717
0.0255655,0.24745,0.220791
0.0256043,0.227476,0.219865
0.025643,0.237151,0.21894
0.0256817,0.24035,0.218015
0.0257205,0.237038,0.21709
0.0257592,0.224882,0.216164
0.025798,0.210078,0.215238
0.0258367,0.209207,0.214312
0.0258754,0.232931,0.213385
0.0259142,0.231069,0.212458
0.0259529,0.228716,0.211531
0.0259916,0.231819,0.210604
0.0260304,0.211673,0.209677
0.0260691,0.193789,0.208751
0.0261078,0.19312,0.207826
0.0261466,0.193491,0.206902
0.0261853,0.195947,0.20598
0.026224,0.191516,0.205061
0.0262628,0.211292,0.204144
0.0263015,0.202169,0.20323
0.0263403,0.196661,0.202319
0.026379,0.190197,0.201411
0.0264177,0.192998,0.200506
0.0264565,0.195831,0.199605
0.0264952,0.1851,0.198706
0.0265339,0.181219,0.197812
0.0265727,0.156074,0.19692
