% Model:              fff-holesurface-binding-with epi-new-111kb1e-2.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 22 2026, 15:21
% Q (L/min)              Time (s)                 N_bound (mol/m^2)
5.000000000000001E-5     80                       2.7346494676252126E-13
5.000000000000001E-5     90                       2.7535463969466186E-13
5.000000000000001E-5     100                      2.766769862845781E-13
5.000000000000001E-5     110                      2.7778812706481663E-13
5.000000000000001E-5     120                      2.7864090175673985E-13
5.000000000000001E-5     130                      2.7937435355861994E-13
5.000000000000001E-5     140                      2.800220339065688E-13
5.000000000000001E-5     150                      2.8060195926646875E-13
5.000000000000001E-5     160                      2.811522183751567E-13
5.000000000000001E-5     170                      2.8167774878240385E-13
5.000000000000001E-5     180                      2.82192026394927E-13
5.000000000000001E-5     190                      2.82699545792968E-13
5.000000000000001E-5     200                      2.8320342049537745E-13
5.000000000000001E-5     210                      2.837061139436933E-13
5.000000000000001E-5     220                      2.842082946686467E-13
5.000000000000001E-5     230                      2.847103631538819E-13
5.000000000000001E-5     240                      2.8521323938225656E-13
5.000000000000001E-5     250                      2.857185212129369E-13
5.000000000000001E-5     260                      2.8622840862005564E-13
5.000000000000001E-5     270                      2.8674505813257723E-13
5.000000000000001E-5     280                      2.872776598342922E-13
5.000000000000001E-5     290                      2.8783772591059026E-13
5.000000000000001E-5     300                      2.884254410645965E-13
5.000000000000001E-5     310                      2.890467114487065E-13
5.000000000000001E-5     320                      2.896829424737316E-13
5.000000000000001E-5     330                      2.9036327531408E-13
5.000000000000001E-5     340                      2.9112600115917075E-13
5.000000000000001E-5     350                      2.919641357483329E-13
5.000000000000001E-5     360                      2.9282612795348247E-13
5.000000000000001E-5     370                      2.937607208371315E-13
5.000000000000001E-5     380                      2.948080731982944E-13
5.000000000000001E-5     390                      2.9594261442455575E-13
5.000000000000001E-5     400                      2.9709609915998263E-13
5.000000000000001E-5     410                      2.9830593437101914E-13
5.000000000000001E-5     420                      2.996183721754785E-13
5.000000000000001E-5     430                      3.010273933093494E-13
5.000000000000001E-5     440                      3.024576614254993E-13
5.000000000000001E-5     450                      3.0392247242992126E-13
5.000000000000001E-5     460                      3.054622725485774E-13
5.000000000000001E-5     470                      3.070841607505323E-13
5.000000000000001E-5     480                      3.087308541254695E-13
5.000000000000001E-5     490                      3.103935943574366E-13
5.000000000000001E-5     500                      3.1210004302482643E-13
5.000000000000001E-5     510                      3.1386209597640633E-13
5.000000000000001E-5     520                      3.1564268352945E-13
5.000000000000001E-5     530                      3.1743106705830463E-13
5.000000000000001E-5     540                      3.192453123411578E-13
5.000000000000001E-5     550                      3.2106897421836994E-13
5.000000000000001E-5     560                      3.2290479967155897E-13
5.000000000000001E-5     570                      3.2475755756818397E-13
5.000000000000001E-5     580                      3.2661322153156005E-13
5.000000000000001E-5     590                      3.2846706013168743E-13
5.000000000000001E-5     600                      3.3031765265874267E-13
5.000000000000001E-5     610                      3.321648087018555E-13
5.000000000000001E-5     620                      3.3400270842290465E-13
5.000000000000001E-5     630                      3.358339903761977E-13
5.000000000000001E-5     640                      3.3764155278645866E-13
5.000000000000001E-5     650                      3.394333397805836E-13
5.000000000000001E-5     660                      3.4121800038077914E-13
5.000000000000001E-5     670                      3.42990617686976E-13
5.000000000000001E-5     680                      3.447446308124465E-13
5.000000000000001E-5     690                      3.464729869115921E-13
5.000000000000001E-5     700                      3.4818140639199273E-13
5.000000000000001E-5     710                      3.498526772606026E-13
5.000000000000001E-5     720                      3.5150230197035667E-13
5.000000000000001E-5     730                      3.5313140277831876E-13
5.000000000000001E-5     740                      3.5470256512933116E-13
5.000000000000001E-5     750                      3.562568436258898E-13
5.000000000000001E-5     760                      3.577958501351862E-13
5.000000000000001E-5     770                      3.593187585161514E-13
5.000000000000001E-5     780                      3.6080559156758587E-13
5.000000000000001E-5     790                      3.6226444296131535E-13
5.000000000000001E-5     800                      3.636874557634091E-13
