% Model:              refresh-2_5-D_Cd_without_photobleaching.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 22 2026, 16:15
% Table:              Evaluation Group 5 - 
% Q (L/min)              Time (s)                 Dependent variable N_bound (mol/m^2)
5.000000000000001E-5     590                      5.721388784417755E-13
5.000000000000001E-5     600                      5.754307305528445E-13
5.000000000000001E-5     610                      5.787171427918767E-13
5.000000000000001E-5     620                      5.81988632555675E-13
5.000000000000001E-5     630                      5.852357216558996E-13
5.000000000000001E-5     640                      5.884530220780796E-13
5.000000000000001E-5     650                      5.916401896104011E-13
5.000000000000001E-5     660                      5.947999395064961E-13
5.000000000000001E-5     670                      5.979464161303094E-13
5.000000000000001E-5     680                      6.010726514731257E-13
5.000000000000001E-5     690                      6.041480021740567E-13
5.000000000000001E-5     700                      6.071555653151949E-13
5.000000000000001E-5     710                      6.101064314664013E-13
5.000000000000001E-5     720                      6.130366185411471E-13
5.000000000000001E-5     730                      6.159489049226173E-13
5.000000000000001E-5     740                      6.188264008895597E-13
5.000000000000001E-5     750                      6.216324270351388E-13
5.000000000000001E-5     760                      6.243533436511144E-13
5.000000000000001E-5     770                      6.270042256261613E-13
5.000000000000001E-5     780                      6.296128531261865E-13
5.000000000000001E-5     790                      6.322000220777905E-13
5.000000000000001E-5     800                      6.34751942430281E-13
5.000000000000001E-5     810                      6.372852832334103E-13
5.000000000000001E-5     820                      6.397574640315751E-13
5.000000000000001E-5     830                      6.421336123937735E-13
5.000000000000001E-5     840                      6.4441581004665E-13
5.000000000000001E-5     850                      6.466359730313514E-13
5.000000000000001E-5     860                      6.488328433698952E-13
5.000000000000001E-5     870                      6.510199929650383E-13
5.000000000000001E-5     880                      6.531860826486413E-13
5.000000000000001E-5     890                      6.552852492258281E-13
5.000000000000001E-5     900                      6.572846373056509E-13
5.000000000000001E-5     910                      6.59195475950128E-13
5.000000000000001E-5     920                      6.610919080774821E-13
5.000000000000001E-5     930                      6.629691444578818E-13
5.000000000000001E-5     940                      6.647585160541801E-13
5.000000000000001E-5     950                      6.665217278833061E-13
5.000000000000001E-5     960                      6.682592105179386E-13
5.000000000000001E-5     970                      6.699343461326224E-13
5.000000000000001E-5     980                      6.715271266793127E-13
5.000000000000001E-5     990                      6.730466246891194E-13
5.000000000000001E-5     1000                     6.745205265020062E-13
5.000000000000001E-5     1010                     6.759753465766746E-13
5.000000000000001E-5     1020                     6.774038535116336E-13
5.000000000000001E-5     1030                     6.788150194395582E-13
5.000000000000001E-5     1040                     6.801863711907187E-13
5.000000000000001E-5     1050                     6.814868572931542E-13
5.000000000000001E-5     1060                     6.827116649778854E-13
5.000000000000001E-5     1070                     6.838824235223629E-13
5.000000000000001E-5     1080                     6.850305769403405E-13
5.000000000000001E-5     1090                     6.861774240129159E-13
5.000000000000001E-5     1100                     6.873093387507679E-13
5.000000000000001E-5     1110                     6.884009153364166E-13
